"year","geo_id","crop_id","average_temperature","total_precipitation","co2_emmissions","crop_yield","extreme_weather_events","irrigation_access","pesticide","fertilizer","soil_health_index","adaptation_id","economic_impact"
"2001","1","1","1.55","447.06","15.22","1.737","8","14.54","10.08","14.78","83.25","1","808.13"
"2024","2","1","3.23","2913.57","29.82","1.737","8","11.05","33.06","23.25","54.02","2","616.22"
"2001","3","2","21.11","1301.74","25.75","1.719","5","84.42","27.41","65.53","67.78","1","796.96"
"2001","4","3","27.85","1154.36","13.91","3.89","5","94.06","14.38","87.58","91.39","3","790.32"
"1998","5","4","2.19","1627.48","11.81","1.08","9","95.75","44.35","88.08","49.61","2","401.72"
"2019","6","3","17.19","975.13","10.73","2.18","5","52.45","26.06","71.56","97.32","1","353.16"
"1997","7","5","23.46","1816.41","27.7","1.611","2","20.22","0.56","28.72","79.09","4","480.61"
"2021","8","6","25.63","786.17","7.77","3.27","4","66.53","13.44","40.5","63.16","5","1367.97"
"2012","9","2","32.08","1233.1","6.1","2.99","1","45.87","10.09","32.54","42.31","1","761.89"
"2018","10","7","21.23","475.32","25.74","0.765","1","25.74","44.38","72.92","84.21","3","167.21"
"2006","11","4","-3.57","1402.97","5.49","2.67","10","19.17","4.38","12.02","44.12","1","1100.44"
"1997","12","3","34.36","518.11","13.11","2.4","3","70.38","20.54","27.25","80.47","1","820.55"
"1993","13","8","19.09","1505.86","14.22","4.29","3","12.49","10.95","32.76","54.92","5","1201.8"
"2003","14","7","14.7","2272.28","11.45","2.5","9","57.37","19.48","46.13","77.32","5","1126.27"
"1999","10","9","12.16","328.52","20.15","3.681","9","47.13","32.95","8.69","36.32","5","894.31"
"1990","12","9","15.23","1468.76","5.41","3.12","5","62.01","2.49","27.56","76.44","5","1524.34"
"2018","15","7","20.83","2639.04","6.01","3.64","10","52.71","28.15","61.34","88.14","5","521.59"
"2017","10","3","21.95","2480.33","11.71","1.37","10","84.04","19.86","21.74","78.53","2","571.98"
"1997","16","6","17.45","1634.32","29.55","2.754","5","29.84","48.57","3.21","30.18","3","1323.81"
"2015","17","10","19.2","1086.11","23.38","3.987","4","47.81","29.58","24.76","82.85","4","1805.57"
"2000","8","6","30.08","1641.99","15.83","3.096","2","94.75","13.7","42.84","73.56","4","345.85"
"2016","1","9","14","1240.49","29.18","4.032000000000001","9","29.32","37.8","99.09","46.32","3","1745.39"
"1996","18","3","21.59","666.95","28.44","1.584","10","41.15","18.3","85.97","35.89","5","384.91"
"2010","19","3","20.85","2294.81","8.66","2.82","3","39.88","29.31","79.91","59.92","5","1222.94"
"2002","20","8","20.22","227.39","16.61","2.628","5","34.96","16.61","72.55","72.74","1","317.95"
"1996","21","9","27.73","1673.81","26.56","3.285","1","88.61","29.11","27.82","96.4","3","1492.19"
"2021","22","5","-0.57","2124.21","7.63","1.48","4","32.79","42.52","85.46","88.57","3","432.78"
"2011","23","1","15.75","1433.31","11.91","2.08","6","79.2","25.19","67.56","55.03","4","933.72"
"1999","7","5","18.62","576.51","7.29","4.53","3","33.33","1.59","99.13","65.14","4","1100.96"
"1997","19","2","31.67","2364.58","13.16","3.33","4","72.38","48.77","12.25","94.46","5","1244.49"
"1995","22","10","16.52","2025.11","19.6","4.338","10","35.12","21.71","82.16","85.71","3","829"
"2018","4","5","31.98","609.15","11.39","2.33","0","77.23","34.58","85.28","40.44","5","928.74"
"2002","4","9","1.92","541.99","1.31","0.71","10","15.47","33.16","80.93","51.13","3","251"
"2024","24","7","4.99","2697.15","28.86","2.619","10","41.07","39.69","31.4","65.11","3","657.71"
"2004","25","6","-0.5","2892.43","18.33","1.593","7","34.21","13.13","81.9","77.07","5","776"
"1999","26","8","5.46","751.6","21.25","0.54","2","36.9","15.6","35.02","70.14","4","140.36"
"2015","15","4","14.69","804.11","23.52","4.248","1","75.67","1.73","78.02","49.8","3","1581.37"
"2008","15","5","5.64","2780.22","20.22","0.477","5","81.71","27.63","15.3","39.42","5","205.93"
"2005","23","10","33.17","1910.34","14.43","1.28","5","97.01","12.87","67.32","38.04","2","177.43"
"1998","27","9","0.15","1838.65","17.36","2.232","8","11.62","9.55","80.77","89.48","2","687.85"
"2020","28","4","17.77","1743.11","13.69","1.69","2","23.95","39.15","67.61","42.34","1","440.49"
"2019","29","8","11.53","2654.03","3.98","2.88","9","59.71","24.21","79.19","36.95","4","1018.44"
"1994","13","10","19.82","2369.04","17.3","3.024","7","60.14","8.3","87.68","65.87","5","1438.48"
"2019","27","6","2.33","839.77","25.67","2.0160000000000005","5","18.4","8.92","70.37","82.21","4","524.89"
"1991","16","10","29.06","566","4.34","2.41","4","98.36","39.57","99.73","44.66","3","1067.25"
"2024","21","2","12.18","1647.58","19.1","1.872","8","36.61","43.15","22.46","52.18","1","925.79"
"1998","30","6","28.86","1970.45","13.89","1.93","2","41.49","16.31","94.79","55.36","5","763.3"
"2022","26","7","6.49","2719.06","23.76","0.873","10","40.98","38.94","77.96","76.68","4","118.24"
"2015","18","6","4.45","900.63","18.26","0.855","2","18.34","35.77","77.36","58.2","4","351.14"
"2007","23","9","10.27","2913.02","29.03","1.584","1","80.98","25.2","92.15","90.27","3","476.68"
"2002","26","4","8.88","947.14","20.78","2.241","2","96.9","41.57","56.67","54.44","2","600.91"
"2007","1","8","27.45","784.04","5.55","2.6","6","89.47","28.15","86.71","33.12","1","308.77"
"1992","22","4","10.05","1945.3","14.37","3.13","6","52.24","35.28","77.08","69.99","2","1307.17"
"2016","31","10","-2.28","2300.89","15.29","1.944","7","28.39","1.51","83.17","63.31","4","725.01"
"2013","9","10","9.95","1210.23","1.43","2.88","4","45.61","30.89","34.09","69.29","2","686.14"
"2013","22","10","32.58","2162.09","6.84","3.91","5","63.51","32.3","94.56","97.57","5","1713.71"
"2016","18","3","20.28","571.36","28.17","1.269","8","63.71","39.88","65.56","30.48","1","575.19"
"2008","3","9","11.3","2304.13","24.41","3.798","8","58.59","18.34","48.92","91.66","5","748.93"
"1992","3","3","-2.68","996.46","28.51","2.4480000000000004","10","13.14","14.9","73.25","72.99","2","821.16"
"1998","9","4","16.81","689.7","8.01","3.22","10","40.5","29.23","5.94","97.76","3","1036.85"
"2023","14","10","30.62","1630.22","29.28","3.249","9","70.31","5.8","49.85","31.92","2","509.77"
"2014","4","3","23.46","269.7","24.08","1.809","5","52.5","35.34","79.04","91.9","3","387.08"
"1999","19","7","1.33","305.9","15.74","1.566","3","17.42","10.26","47.41","50.39","3","505.46"
"2021","14","5","23.3","1740.68","25.99","0.747","10","44.5","4.74","20.44","60.39","3","372.06"
"2003","3","10","27.89","1929.13","2.54","3.87","6","79.09","40.56","79.56","55.17","3","1365.53"
"2012","32","3","3.2","2121.73","2.71","2.44","5","67.6","5.22","70.83","94.74","4","740.12"
"2011","33","1","15.76","2317.59","21.33","3.807","0","94.85","47.02","35.76","48.6","5","1627.44"
"2002","9","1","9.97","2310.19","23.27","1.053","2","19.87","37.64","5.83","97.48","1","285.96"
"1991","25","2","11.6","2439.05","9.86","4.79","6","27.81","38.14","54.45","94.62","1","916.03"
"2000","10","6","6.26","1404.1","10.44","2.43","0","85.26","24.41","5.04","39.84","3","966.48"
"2019","14","8","24.62","1342.63","27.04","2.628","0","15.98","9","49.51","81.09","3","548.31"
"2008","19","3","20.94","2639.05","4.95","1.97","6","42.74","13.81","90.6","46.04","2","711.34"
"1996","11","2","23","1189.48","18.68","2.6910000000000003","9","11.15","39.42","77.79","88.18","5","1201.22"
"2014","34","6","29.17","1405.59","8.17","1.81","6","32.18","43.7","32.04","75.47","3","657.55"
"2006","15","10","26.73","1660.23","14.92","1.98","5","49.95","0.72","69.54","41.68","5","910.87"
"2009","25","6","21.37","636.48","15.22","0.8190000000000001","2","87.06","26.28","27.15","72.84","3","152.23"
"2012","16","7","-0.86","1303.28","10.19","1.07","2","31.78","37.84","51.63","56.8","4","457.24"
"1999","19","8","11.75","1919.54","12.98","2.31","10","67.7","15.46","76.52","63.87","3","904.02"
"2011","35","9","-2.44","586.46","2.03","0.95","7","81.72","3.22","28.51","41.01","2","133.48"
"2015","20","10","18.52","780.09","10.09","2.19","7","34.62","47.72","28.42","38.21","2","1000.69"
"2023","22","2","-2.61","710.57","4.03","2.48","10","67.09","17.28","11.43","64.99","1","1077.38"
"2013","27","10","23.46","993.99","28.43","1.521","7","73.17","36.38","29.44","71.79","4","464.95"
"2020","3","3","16.75","2854.49","22.3","3.366","7","91.45","21.36","80.76","47.8","1","1237.26"
"2002","20","8","15.62","2348.64","4.1","3.95","8","17.76","30.24","92.96","99.82","4","1690.69"
"2024","23","6","-0.91","916.1","12.26","0.56","1","31.21","16.7","70.48","78.33","1","146.4"
"1991","15","1","10.88","2160.93","3.12","2.13","4","26.25","17.02","58.6","74","1","818.6"
"2019","8","2","16.22","1222.35","26.35","1.62","3","76.52","40.08","6.97","44.6","5","698.98"
"2024","36","3","2.79","1944.52","20.71","0.8280000000000001","4","58.99","47.96","3.9","73.47","1","226.98"
"2016","16","9","32.37","1103.04","22.53","1.404","1","66.03","7.04","47.21","56.97","1","366.94"
"2017","26","6","1.05","2618.59","18.72","0.81","1","78.76","29.83","59.12","37.39","1","116.26"
"2005","26","1","-3.75","1051.31","9.59","0.99","5","97.18","7.13","97.28","96.31","2","355.3"
"1993","33","6","18.05","391.16","18.64","3.96","5","91.05","3.76","99.89","37.87","2","1009.71"
"2022","26","2","-0.34","2967.32","16.84","1.557","0","81.07","44.5","92.19","64.16","5","269.52"
"2010","15","8","0.08","1662.53","13.85","2.22","10","77.04","15.94","92.54","85.24","1","926.75"
"2012","17","2","31.67","863.78","13.9","3.02","7","90.97","22.28","70.33","98.66","2","931.73"
"1997","18","9","13.99","1063.82","0.75","3.07","0","59.77","19.44","22.5","81.96","2","1104.59"
"2009","34","5","13.2","2713.36","3.4","4.31","1","67.18","24.77","34.96","64.71","4","1217.9"
"2016","11","7","15.75","2128.68","20.97","3.483","1","79.63","37.27","16.96","62.68","1","1310.99"
"2011","28","9","1.57","798.14","5.14","2.36","9","51.48","14.31","91.02","32.42","4","987.4"
"2004","10","1","32.28","1836.63","11.44","3.42","1","37.67","16.76","29.79","35.55","1","696.8"
"1998","9","9","12.14","1507.9","1.55","4.79","0","97.69","8.28","56.73","89.16","4","1163.98"
"2009","13","2","-2","2280.09","12.7","1.81","8","93.41","8.64","85.61","48.73","4","692.13"
"1990","22","1","15.3","739.72","5.03","3.27","8","13.92","5.8","9.44","44.82","2","1159.41"
"2020","1","4","18.74","309.92","20.51","3.042","9","76.58","48.2","73.87","55.53","3","1228.61"
"1992","4","2","29.66","1021.58","18.34","1.242","2","17.03","35.39","93.24","64.24","3","291.15"
"2009","3","6","20.82","1797.23","12.36","1.89","8","65.4","26.85","9.25","34.94","3","927.92"
"2003","24","8","8.74","1441.35","0.86","1.23","5","66.34","29.28","96.7","30.27","3","488.8"
"1995","35","5","18.36","1185.54","14.99","3.35","2","50.59","46.13","75.53","58.97","2","1152.48"
"2017","7","3","-0.53","2177.52","12.07","1.32","9","14.68","19.33","95.18","66.59","4","238.24"
"1995","18","1","16.05","915.89","1.41","3.72","2","89.41","37.29","66.26","35.06","5","661.98"
"2018","11","9","4.57","494.92","16.8","2.043","6","75.74","39.31","45.94","77.74","2","397.3"
"2002","12","5","14.59","1814.94","2.87","3.37","6","47.34","30.39","62.65","69.62","3","373.61"
"2014","37","6","9.68","2510.94","25","1.908","8","49.68","31.24","30.4","81.83","1","393.55"
"2012","2","2","4.62","242.14","8.9","1.575","3","81.95","40.76","20.74","37.09","4","746.04"
"2019","8","6","4.53","2513.56","25.76","0.99","2","90.53","30.61","37.22","30.96","5","299.48"
"2008","22","2","5.77","1034.34","1.97","0.61","10","98.87","27.45","45.05","57.56","1","150.37"
"1993","38","5","32.78","854.02","7.27","2.86","9","98.03","18.45","94.22","83.3","4","315.03"
"2022","24","5","-0.51","2093.27","11.29","2.88","3","55.19","14.16","54.89","34.4","3","1323.92"
"1997","21","3","34.07","1965.45","20.34","2.853","9","49.77","29.93","1.12","49.98","5","642.36"
"2011","30","5","13.29","1277.82","5.12","4","10","97.87","0.07","52.22","44.64","1","403.83"
"1994","25","10","19.72","1314.65","3.13","2.06","6","52.17","43.54","36.43","43.03","4","445.9"
"2022","3","6","33.63","790.51","0.67","2.73","0","38.78","32.07","16.66","60.66","2","1079.45"
"2000","11","6","28.65","1312.04","15.52","3.4650000000000003","1","21.39","13.82","63.2","71.49","3","605.68"
"2016","37","6","24.16","1676.06","23.13","1.386","10","88.89","43.03","69.48","58.99","4","646.38"
"2012","6","8","-3.77","698.5","27.68","1.2060000000000002","2","69.03","14.97","9.47","80","3","268.11"
"2008","19","1","25.49","1704.94","20.18","1.611","3","48.66","1.98","64.11","45.4","2","611.87"
"2010","32","4","2.41","256.48","18.95","0.936","4","97.88","15.82","54.91","99.09","1","165.43"
"1990","10","8","4.03","338.35","6.57","1.116","0","47.31","22.19","1.34","74.72","3","165.05"
"2000","21","8","23.61","1287.1","17","1.476","7","64.45","49.46","29.43","52.68","2","329.19"
"1993","7","10","11.76","949.18","16.23","2.871","5","85.6","11.59","18.53","32.25","5","703.14"
"2018","22","3","32.91","2220.48","26.29","3.15","2","43.33","34.02","17.83","85.36","5","1297.88"
"2003","39","3","2.67","2587.66","26.72","1.197","9","50.16","30.98","87.77","61.88","5","433.42"
